"","X","yyyy","mm","dd","obs.mm.","p24_cat0"
"1",1,2003,1,1,0,0.3
"2",2,2003,1,2,0,0.1
"3",3,2003,1,3,0,0.1
"4",4,2003,1,4,0,0.2
"5",5,2003,1,5,0,0.2
"6",6,2003,1,6,0,0.1
"7",7,2003,1,7,1.1,0.4
"8",8,2003,1,8,0.9,0.7
"9",9,2003,1,9,0,0.7
"10",10,2003,1,10,0,-999
"11",11,2003,1,11,2.2,-999
"12",12,2003,1,12,0,0.2
"13",13,2003,1,13,1.2,0.2
"14",14,2003,1,14,6,1
"15",15,2003,1,15,2.3,0.7
"16",16,2003,1,16,2.2,0.7
"17",17,2003,1,17,0,0.6
"18",18,2003,1,18,0.4,0.4
"19",19,2003,1,19,0,0.3
"20",20,2003,1,20,7.4,0.7
"21",21,2003,1,21,0,0.9
"22",22,2003,1,22,2.5,-999
"23",23,2003,1,23,1.8,0.8
"24",24,2003,1,24,0,0.2
"25",25,2003,1,25,0,0.2
"26",26,2003,1,26,1.4,0.8
"27",27,2003,1,27,0.4,0.5
"28",28,2003,1,28,0,0.3
"29",29,2003,1,29,0,0.1
"30",30,2003,1,30,0,0.2
"31",31,2003,1,31,0,0
"32",32,2003,2,1,0,0
"33",33,2003,2,2,0,0.8
"34",34,2003,2,3,0,0.5
"35",35,2003,2,4,2,0.7
"36",36,2003,2,5,1.8,-999
"37",37,2003,2,6,0,0.8
"38",38,2003,2,7,0,0.2
"39",39,2003,2,8,0,0.2
"40",40,2003,2,9,0,0.3
"41",41,2003,2,10,0,0.1
"42",42,2003,2,11,0.1,0.1
"43",43,2003,2,12,0,0.1
"44",44,2003,2,13,0,0.2
"45",45,2003,2,14,0,0.2
"46",46,2003,2,15,0,0.2
"47",47,2003,2,16,0,0
"48",48,2003,2,17,0,0
"49",49,2003,2,18,0,0
"50",50,2003,2,19,0,0
"51",51,2003,2,20,0,0.2
"52",52,2003,2,21,0,0.2
"53",53,2003,2,22,0,0
"54",54,2003,2,23,0,0
"55",55,2003,2,24,0,0.1
"56",56,2003,2,25,0,0
"57",57,2003,2,26,0,0.1
"58",58,2003,2,27,0,0.1
"59",59,2003,2,28,0,0
"60",60,2003,3,1,0,0
"61",61,2003,3,2,0.1,0.1
"62",62,2003,3,3,0,0.1
"63",63,2003,3,4,0.1,0
"64",64,2003,3,5,0,0
"65",65,2003,3,6,0,0
"66",66,2003,3,7,0,0.5
"67",67,2003,3,8,0,0.2
"68",68,2003,3,9,0.2,0.5
"69",69,2003,3,10,3.5,-999
"70",70,2003,3,11,0,0.3
"71",71,2003,3,12,0,0.3
"72",72,2003,3,13,0,0.2
"73",73,2003,3,14,0,0.2
"74",74,2003,3,15,0,0
"75",75,2003,3,16,0,0.1
"76",76,2003,3,17,0,0.2
"77",77,2003,3,18,0,0
"78",78,2003,3,19,0,0
"79",79,2003,3,20,0,0.2
"80",80,2003,3,21,0,0
"81",81,2003,3,22,0,0.3
"82",82,2003,3,23,0,0.2
"83",83,2003,3,24,0,0.2
"84",84,2003,3,25,0,0
"85",85,2003,3,26,0,0
"86",86,2003,3,27,0,0
"87",87,2003,3,28,0,0.1
"88",88,2003,3,29,0,0
"89",89,2003,3,30,0.6,0
"90",90,2003,3,31,0,0.3
"91",91,2003,4,1,0,0
"92",92,2003,4,2,0,0.2
"93",93,2003,4,3,0,0.2
"94",94,2003,4,4,1.2,0.9
"95",95,2003,4,5,1.9,0.6
"96",96,2003,4,6,0,0
"97",97,2003,4,7,0,0
"98",98,2003,4,8,0,0.3
"99",99,2003,4,9,0,0.3
"100",100,2003,4,10,0.5,0.8
"101",101,2003,4,11,0,0.5
"102",102,2003,4,12,0,0.7
"103",103,2003,4,13,0,0.6
"104",104,2003,4,14,0,0.3
"105",105,2003,4,15,0,0.3
"106",106,2003,4,16,0,0.1
"107",107,2003,4,17,0,0.1
"108",108,2003,4,18,0,0.1
"109",109,2003,4,19,0,0.1
"110",110,2003,4,20,0,0.2
"111",111,2003,4,21,0,0.2
"112",112,2003,4,22,0,0.1
"113",113,2003,4,23,0,0.2
"114",114,2003,4,24,0,0.2
"115",115,2003,4,25,0,0.2
"116",116,2003,4,26,0,0.2
"117",117,2003,4,27,0,0.2
"118",118,2003,4,28,1.7,-999
"119",119,2003,4,29,0,0.3
"120",120,2003,4,30,0.2,0.7
"121",121,2003,5,1,15.6,1
"122",122,2003,5,2,0,0.2
"123",123,2003,5,3,0,0.1
"124",124,2003,5,4,0,0.2
"125",125,2003,5,5,0,-999
"126",126,2003,5,6,6.9,0.9
"127",127,2003,5,7,0,0.6
"128",128,2003,5,8,0,0.1
"129",129,2003,5,9,0,0.1
"130",130,2003,5,10,1,0.2
"131",131,2003,5,11,0,0.1
"132",132,2003,5,12,0,-999
"133",133,2003,5,13,0,0.8
"134",134,2003,5,14,9.4,1
"135",135,2003,5,15,0,0.1
"136",136,2003,5,16,7.2,1
"137",137,2003,5,17,5.8,0.8
"138",138,2003,5,18,0.2,0.5
"139",139,2003,5,19,9.4,0.6
"140",140,2003,5,20,0.4,0.5
"141",141,2003,5,21,0,0.2
"142",142,2003,5,22,0,0.1
"143",143,2003,5,23,0.2,0.2
"144",144,2003,5,24,0,0.7
"145",145,2003,5,25,0,0.2
"146",146,2003,5,26,6.6,0.8
"147",147,2003,5,27,0,0.1
"148",148,2003,5,28,0,0.2
"149",149,2003,5,29,0,0
"150",150,2003,5,30,2.1,-999
"151",151,2003,5,31,0,0.6
"152",152,2003,6,1,0,0.1
"153",153,2003,6,2,0,0.1
"154",154,2003,6,3,0,0.2
"155",155,2003,6,4,2.1,0.3
"156",156,2003,6,5,2.3,0.3
"157",157,2003,6,6,0.2,0.7
"158",158,2003,6,7,0,0.6
"159",159,2003,6,8,0,0.1
"160",160,2003,6,9,9,0.9
"161",161,2003,6,10,0,0.2
"162",162,2003,6,11,0,0
"163",163,2003,6,12,0,0.7
"164",164,2003,6,13,0,0.7
"165",165,2003,6,14,0.4,0.5
"166",166,2003,6,15,0,0.7
"167",167,2003,6,16,3.7,0.6
"168",168,2003,6,17,3.1,0.4
"169",169,2003,6,18,0,0.2
"170",170,2003,6,19,0,0.8
"171",171,2003,6,20,9.3,0.7
"172",172,2003,6,21,0,0.4
"173",173,2003,6,22,0,0.3
"174",174,2003,6,23,0,0.2
"175",175,2003,6,24,0.9,0.3
"176",176,2003,6,25,0,0.3
"177",177,2003,6,26,0,0.7
"178",178,2003,6,27,0,0.2
"179",179,2003,6,28,0.6,0.7
"180",180,2003,6,29,0.2,0.8
"181",181,2003,6,30,0,0.4
"182",182,2003,7,1,0,0.2
"183",183,2003,7,2,0,0.4
"184",184,2003,7,3,1.5,0.7
"185",185,2003,7,4,0,0.3
"186",186,2003,7,5,0,0.5
"187",187,2003,7,6,0,0.5
"188",188,2003,7,7,0,0.1
"189",189,2003,7,8,0,0.1
"190",190,2003,7,9,0.1,0.7
"191",191,2003,7,10,0.1,0.3
"192",192,2003,7,11,0.4,-999
"193",193,2003,7,12,2.9,0.2
"194",194,2003,7,13,0,0.3
"195",195,2003,7,14,0,0.2
"196",196,2003,7,15,0,0.2
"197",197,2003,7,16,0,0.3
"198",198,2003,7,17,0,0.2
"199",199,2003,7,18,0,0.5
"200",200,2003,7,19,0,0.5
"201",201,2003,7,20,0,0.2
"202",202,2003,7,21,0,0.3
"203",203,2003,7,22,0,0.4
"204",204,2003,7,23,0,-999
"205",205,2003,7,24,0,0.4
"206",206,2003,7,25,0,0.4
"207",207,2003,7,26,0,0.6
"208",208,2003,7,27,6,0.8
"209",209,2003,7,28,3.4,0.8
"210",210,2003,7,29,6.2,0.9
"211",211,2003,7,30,0,0.6
"212",212,2003,7,31,5.8,0.5
"213",213,2003,8,1,0,0.4
"214",214,2003,8,2,0,0.4
"215",215,2003,8,3,0.5,0.6
"216",216,2003,8,4,0,0.7
"217",217,2003,8,5,12.1,0.8
"218",218,2003,8,6,0.2,0.3
"219",219,2003,8,7,0,0.1
"220",220,2003,8,8,4.2,0.5
"221",221,2003,8,9,1,0.3
"222",222,2003,8,10,0,0.7
"223",223,2003,8,11,0,0
"224",224,2003,8,12,0,0.2
"225",225,2003,8,13,0,0.3
"226",226,2003,8,14,7.1,0.7
"227",227,2003,8,15,0,0.6
"228",228,2003,8,16,0,0.4
"229",229,2003,8,17,0,0.2
"230",230,2003,8,18,0,0
"231",231,2003,8,19,0,0.2
"232",232,2003,8,20,0.4,0.7
"233",233,2003,8,21,0,0.7
"234",234,2003,8,22,0.2,0.5
"235",235,2003,8,23,2.3,0.9
"236",236,2003,8,24,0.6,0.7
"237",237,2003,8,25,0,0.4
"238",238,2003,8,26,0,0.6
"239",239,2003,8,27,0,0.7
"240",240,2003,8,28,0,1
"241",241,2003,8,29,2.5,0.8
"242",242,2003,8,30,0,0.3
"243",243,2003,8,31,0,0.6
"244",244,2003,9,1,0,0.5
"245",245,2003,9,2,0,0.1
"246",246,2003,9,3,0,0.5
"247",247,2003,9,4,0,0.3
"248",248,2003,9,5,0,0.1
"249",249,2003,9,6,0,0.1
"250",250,2003,9,7,0,0
"251",251,2003,9,8,0,0
"252",252,2003,9,9,0,0
"253",253,2003,9,10,0,0
"254",254,2003,9,11,0,0
"255",255,2003,9,12,0,0.2
"256",256,2003,9,13,0,0.4
"257",257,2003,9,14,0,0
"258",258,2003,9,15,0,-999
"259",259,2003,9,16,0,0.2
"260",260,2003,9,17,0,0.1
"261",261,2003,9,18,0,0.3
"262",262,2003,9,19,0,0.3
"263",263,2003,9,20,0,0
"264",264,2003,9,21,0,0.6
"265",265,2003,9,22,0,0.3
"266",266,2003,9,23,1.9,0.9
"267",267,2003,9,24,0,0.1
"268",268,2003,9,25,0,0.7
"269",269,2003,9,26,0,-999
"270",270,2003,9,27,0,1
"271",271,2003,9,28,0,0.9
"272",272,2003,9,29,0,0.2
"273",273,2003,9,30,0,0.5
"274",274,2003,10,1,0.6,0.8
"275",275,2003,10,2,4.1,-999
"276",276,2003,10,3,0,0.3
"277",277,2003,10,4,0,0.6
"278",278,2003,10,5,0.1,0.6
"279",279,2003,10,6,0,0.7
"280",280,2003,10,7,2.5,0.8
"281",281,2003,10,8,25.2,1
"282",282,2003,10,9,0,0.3
"283",283,2003,10,10,0.2,0.2
"284",284,2003,10,11,4,1
"285",285,2003,10,12,1.4,0.7
"286",286,2003,10,13,0,0.4
"287",287,2003,10,14,0,0
"288",288,2003,10,15,0,0
"289",289,2003,10,16,0,0.1
"290",290,2003,10,17,0,0.1
"291",291,2003,10,18,0,0.3
"292",292,2003,10,19,0,0.3
"293",293,2003,10,20,0,0.2
"294",294,2003,10,21,0,0.1
"295",295,2003,10,22,0,0
"296",296,2003,10,23,0,0.1
"297",297,2003,10,24,3,0.8
"298",298,2003,10,25,0,0.8
"299",299,2003,10,26,0,0.3
"300",300,2003,10,27,0,-999
"301",301,2003,10,28,0,0.1
"302",302,2003,10,29,0.6,0.5
"303",303,2003,10,30,0,0.4
"304",304,2003,10,31,0.9,0.7
"305",305,2003,11,1,0,0.3
"306",306,2003,11,2,1.4,0.8
